bead_batch	nearest_dose	pert_dose	pert_dose_unit	pert_idose	pert_itime	pert_time	pert_time_unit	cell_mfc_name	pert_mfc_id	nsample	cc_q75	ss_ngene	tas	pct_self_rank_q25	wt	median_recall_rank_spearman	median_recall_rank_wtcs_50	median_recall_score_spearman	median_recall_score_wtcs_50	batch_effect_tstat	batch_effect_tstat_pct	is_hiq	qc_pass	pert_id	sig_id	pert_type	cell_iname	det_wells	det_plates	distil_ids	build_name	project_code	cmap_name	is_exemplar_sig	is_ncs_sig	is_null_sig
b1					144 h	144.0	h	PC3	TRCN0000000595	3	0.5177	322	0.412855	0.841453	0.28,0.36,0.37	1.46667	2.26454	0.364264	0.521951	4.46	17.9443	1	1	TRCN0000000595	KDA003_PC3_144H:P15	trt_sh	PC3	P15	KDA003_PC3_144H_X1_B1_DUO44HI45LO|KDA003_PC3_144H_X2_B1_DUO45HI44LO|KDA003_PC3_144H_X3_B1_DUO45HI44LO	KDA003_PC3_144H_X1_B1_DUO44HI45LO:P15|KDA003_PC3_144H_X2_B1_DUO45HI44LO:P15|KDA003_PC3_144H_X3_B1_DUO45HI44LO:P15		KDA	CDK7	0	1.0	0.0
f1b4					120 h	120.0	h	VCAP	TRCN0000000592	2	0.01	139	0.0376997	43.0108	""""""""""""""""""""""""""""""""""	45.2754	70.239	0.0124669	0.0	14.72	64.054	0	0	TRCN0000000592	KDA003_VCAP_120H:TRCN0000000592:-666	trt_sh	VCAP	F21	KDA003_VCAP_120H_X1_F1B4_DUO52HI53LO|KDA003_VCAP_120H_X2_F1B4_DUO52HI53LO	KDA003_VCAP_120H_X1_F1B4_DUO52HI53LO:F21|KDA003_VCAP_120H_X2_F1B4_DUO52HI53LO:F21		KDA	CDK7	0	0.0	0.0
b3					96 h	96.0	h	HT29	TRCN0000000594	3	0.065	585	0.197181	12.2453	0.24,0.50,0.26	26.8819	33.0238	0.060368	0.229122	18.21	74.878	0	1	TRCN0000000594	KDA003_HT29_96H:D13	trt_sh	HT29	D13	KDA003_HT29_96H_X1_B3_DUO52HI53LO|KDA003_HT29_96H_X2_B3_DUO52HI53LO|KDA003_HT29_96H_X3_B3_DUO52HI53LO	KDA003_HT29_96H_X1_B3_DUO52HI53LO:D13|KDA003_HT29_96H_X2_B3_DUO52HI53LO:D13|KDA003_HT29_96H_X3_B3_DUO52HI53LO:D13		KDA	CDK7	1	1.0	0.0
f1b5					96 h	96.0	h	HCC515	TRCN0000000595	2	0.05	280	0.119645	31.2668	""""""""""""""""""""""""""""""""""	31.6668	87.1298	0.0487392	-0.136099	19.56	78.5817	0	0	TRCN0000000595	KDA003_HCC515_96H:TRCN0000000595:-666	trt_sh	HCC515	P15	KDA003_HCC515_96H_X2_F1B5_DUO52HI53LO|KDA003_HCC515_96H_X3_F2B4_DUO52HI53LO	KDA003_HCC515_96H_X2_F1B5_DUO52HI53LO:P15|KDA003_HCC515_96H_X3_F2B4_DUO52HI53LO:P15		KDA	CDK7	1	1.0	0.0
b6					96 h	96.0	h	HA1E	TRCN0000000595	3	0.63	204	0.362507	0.0	""""""""""""""""""""""""""""""""""	0.0	0.0	0.598349	0.795957	8.4	33.7066	1	1	TRCN0000000595	KDA003_HA1E_96H:TRCN0000000595:-666	trt_sh	HA1E	P15	KDA003_HA1E_96H_X1_B6_DUO52HI53LO|KDA003_HA1E_96H_X2_B6_DUO52HI53LO|KDA003_HA1E_96H_X3_B6_DUO52HI53LO	KDA003_HA1E_96H_X1_B6_DUO52HI53LO:P15|KDA003_HA1E_96H_X2_B6_DUO52HI53LO:P15|KDA003_HA1E_96H_X3_B6_DUO52HI53LO:P15		KDA	CDK7	1	1.0	0.0
b1					144 h	144.0	h	PC3	TRCN0000000594	3	0.43	105	0.214862	0.0	""""""""""""""""""""""""""""""""""	0.0	0.0	0.0	0.0	0.0	0.0	0	1	TRCN0000000594	KDA003_PC3_144H:TRCN0000000594:-666	trt_sh	PC3	D13	KDA003_PC3_144H_X1_B1_DUO44HI45LO|KDA003_PC3_144H_X2_B1_DUO45HI44LO|KDA003_PC3_144H_X3_B1_DUO45HI44LO	KDA003_PC3_144H_X1_B1_DUO44HI45LO:D13|KDA003_PC3_144H_X2_B1_DUO45HI44LO:D13|KDA003_PC3_144H_X3_B1_DUO45HI44LO:D13		KDA	CDK7	0	1.0	0.0
b6					96 h	96.0	h	HA1E	TRCN0000000592	3	0.49	117	0.242115	0.0	""""""""""""""""""""""""""""""""""	0.0	0.135501	0.368051	0.570794	8.4	33.7066	0	0	TRCN0000000592	KDA003_HA1E_96H:TRCN0000000592:-666	trt_sh	HA1E	F21	KDA003_HA1E_96H_X1_B6_DUO52HI53LO|KDA003_HA1E_96H_X2_B6_DUO52HI53LO|KDA003_HA1E_96H_X3_B6_DUO52HI53LO	KDA003_HA1E_96H_X1_B6_DUO52HI53LO:F21|KDA003_HA1E_96H_X2_B6_DUO52HI53LO:F21|KDA003_HA1E_96H_X3_B6_DUO52HI53LO:F21		KDA	CDK7	1	1.0	0.0
b1					96 h	96.0	h	PC3	TRCN0000000595	3	0.41	330	0.371946	0.0	""""""""""""""""""""""""""""""""""	0.0	0.0	0.403601	0.670937	18.46	75.7106	1	1	TRCN0000000595	KDA003_PC3_96H:TRCN0000000595:-666	trt_sh	PC3	P15	KDA003_PC3_96H_X1_B1_DUO45HI44LO|KDA003_PC3_96H_X2_B1_DUO45HI44LO|KDA003_PC3_96H_X3_B1_DUO45HI44LO	KDA003_PC3_96H_X1_B1_DUO45HI44LO:P15|KDA003_PC3_96H_X2_B1_DUO45HI44LO:P15|KDA003_PC3_96H_X3_B1_DUO45HI44LO:P15		KDA	CDK7	1	1.0	0.0
b1					144 h	144.0	h	PC3	TRCN0000000594	3	0.4276	105	0.214261	0.0	0.29,0.38,0.33	0.0	0.0	0.374429	0.489673	4.46	17.9443	1	1	TRCN0000000594	KDA003_PC3_144H:D13	trt_sh	PC3	D13	KDA003_PC3_144H_X1_B1_DUO44HI45LO|KDA003_PC3_144H_X2_B1_DUO45HI44LO|KDA003_PC3_144H_X3_B1_DUO45HI44LO	KDA003_PC3_144H_X1_B1_DUO44HI45LO:D13|KDA003_PC3_144H_X2_B1_DUO45HI44LO:D13|KDA003_PC3_144H_X3_B1_DUO45HI44LO:D13		KDA	CDK7	1	1.0	0.0
b3					96 h	96.0	h	A549	TRCN0000000594	3	0.27	126	0.186508	4.10584	""""""""""""""""""""""""""""""""""	5.27066	13.6544	0.230281	0.385277	15.21	65.6331	0	0	TRCN0000000594	KDA003_A549_96H:TRCN0000000594:-666	trt_sh	A549	D13	KDA003_A549_96H_X1_B3_DUO52HI53LO|KDA003_A549_96H_X2_B3_DUO52HI53LO|KDA003_A549_96H_X3_B3_DUO52HI53LO	KDA003_A549_96H_X1_B3_DUO52HI53LO:D13|KDA003_A549_96H_X2_B3_DUO52HI53LO:D13|KDA003_A549_96H_X3_B3_DUO52HI53LO:D13		KDA	CDK7	1	1.0	0.0
b2					120 h	120.0	h	VCAP	TRCN0000000594	3	0.33	108	0.190897	0.269784	""""""""""""""""""""""""""""""""""	11.6307	1.34482	0.15326	0.495962	9.02	37.0945	1	1	TRCN0000000594	ERGK001_VCAP_120H:TRCN0000000594:-666	trt_sh	VCAP	J01	ERGK001_VCAP_120H_X1_B2_DUO52HI53LO|ERGK001_VCAP_120H_X2_B3_DUO52HI53LO|ERGK001_VCAP_120H_X3_B3_DUO52HI53LO	ERGK001_VCAP_120H_X1_B2_DUO52HI53LO:J01|ERGK001_VCAP_120H_X2_B3_DUO52HI53LO:J01|ERGK001_VCAP_120H_X3_B3_DUO52HI53LO:J01		ERGK	CDK7	1	1.0	0.0
b2					120 h	120.0	h	VCAP	TRCN0000000593	3	0.42	171	0.27099	0.0	""""""""""""""""""""""""""""""""""	0.0	0.0	0.346552	0.645865	9.02	37.0945	1	1	TRCN0000000593	ERGK001_VCAP_120H:TRCN0000000593:-666	trt_sh	VCAP	J11	ERGK001_VCAP_120H_X1_B2_DUO52HI53LO|ERGK001_VCAP_120H_X2_B3_DUO52HI53LO|ERGK001_VCAP_120H_X3_B3_DUO52HI53LO	ERGK001_VCAP_120H_X1_B2_DUO52HI53LO:J11|ERGK001_VCAP_120H_X2_B3_DUO52HI53LO:J11|ERGK001_VCAP_120H_X3_B3_DUO52HI53LO:J11		ERGK	CDK7	1	1.0	0.0
b2					120 h	120.0	h	VCAP	TRCN0000000595	3	0.42	159	0.261309	0.0	""""""""""""""""""""""""""""""""""	0.0	0.0	0.384932	0.616313	9.02	37.0945	1	1	TRCN0000000595	ERGK001_VCAP_120H:TRCN0000000595:-666	trt_sh	VCAP	H07	ERGK001_VCAP_120H_X1_B2_DUO52HI53LO|ERGK001_VCAP_120H_X2_B3_DUO52HI53LO|ERGK001_VCAP_120H_X3_B3_DUO52HI53LO	ERGK001_VCAP_120H_X1_B2_DUO52HI53LO:H07|ERGK001_VCAP_120H_X2_B3_DUO52HI53LO:H07|ERGK001_VCAP_120H_X3_B3_DUO52HI53LO:H07		ERGK	CDK7	1	1.0	0.0
b2					120 h	120.0	h	VCAP	TRCN0000000592	3	0.29	143	0.20592	0.0	""""""""""""""""""""""""""""""""""	0.0	0.540925	0.241218	0.489644	9.02	37.0945	1	1	TRCN0000000592	ERGK001_VCAP_120H:TRCN0000000592:-666	trt_sh	VCAP	F13	ERGK001_VCAP_120H_X1_B2_DUO52HI53LO|ERGK001_VCAP_120H_X2_B3_DUO52HI53LO|ERGK001_VCAP_120H_X3_B3_DUO52HI53LO	ERGK001_VCAP_120H_X1_B2_DUO52HI53LO:F13|ERGK001_VCAP_120H_X2_B3_DUO52HI53LO:F13|ERGK001_VCAP_120H_X3_B3_DUO52HI53LO:F13		ERGK	CDK7	1	1.0	0.0
b2					120 h	120.0	h	VCAP	TRCN0000000596	3	0.6	314	0.438905	0.0	""""""""""""""""""""""""""""""""""	0.0	0.273224	0.542724	0.622055	9.02	37.0945	1	1	TRCN0000000596	ERGK001_VCAP_120H:TRCN0000000596:-666	trt_sh	VCAP	B09	ERGK001_VCAP_120H_X1_B2_DUO52HI53LO|ERGK001_VCAP_120H_X2_B3_DUO52HI53LO|ERGK001_VCAP_120H_X3_B3_DUO52HI53LO	ERGK001_VCAP_120H_X1_B2_DUO52HI53LO:B09|ERGK001_VCAP_120H_X2_B3_DUO52HI53LO:B09|ERGK001_VCAP_120H_X3_B3_DUO52HI53LO:B09		ERGK	CDK7	1	1.0	0.0
